,Study,Patient ID,Site,Name,age,weight,breed,gender,Tumor Location,PH vs NPH,PH,ALP,Group,DFI,DFI_censor,Survival (days from sx),Surv_censor,sample,Collection time point,"(Tumor/normal/met, unknown)",Sample Location,slide,Halo Box Folder
10,SOC,206,CSU,Millie,11.4,28,Mixed Breed,Spayed female,Right distal radius,NPH,0,Normal,NPHNALP,132,1,169,1,0206 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 17.55.55.ndpi,DOG2 Batch 2
11,SOC,206,CSU,Millie,11.4,28,Mixed Breed,Spayed female,Right distal radius,NPH,0,Normal,NPHNALP,132,1,169,1,0206 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 17.58.15.ndpi,DOG2 Batch 2
12,SOC,208,CSU,Thumper,8.1,52.3,Anatolian Shepherd Dog,Spayed female,Right distal radius,NPH,0,Normal,NPHNALP,15,0,15,0,0208 Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 17.15.33.ndpi,Box 9
13,SOC,208,CSU,Thumper,8.1,52.3,Anatolian Shepherd Dog,Spayed female,Right distal radius,NPH,0,Normal,NPHNALP,15,0,15,0,0208Tumor A,Surgery,Tumor,Primary Tumor,2022-01-10 17.28.17.ndpi,Box 9
14,SOC,210,CSU,Kala,10,26.3,Labrador Retriever,Spayed female,Right proximal humerus,PH,1,Normal,PHNALP,117,1,220,1,0210 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 18.01.45.ndpi,DOG2 Batch 2
15,SOC,210,CSU,Kala,10,26.3,Labrador Retriever,Spayed female,Right proximal humerus,PH,1,Normal,PHNALP,117,1,220,1,0210 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 18.04.54.ndpi,DOG2 Batch 2
16,SOC,212,CSU,Artie,8.2,27.2,Mixed Breed,Castrated male,Left proximal humerus,PH,1,Elevated,PHEALP,60,1,61,1,0212 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 13.27.57.ndpi,DOG2 original
17,SOC,212,CSU,Artie,8.2,27.2,Mixed Breed,Castrated male,Left proximal humerus,PH,1,Elevated,PHEALP,60,1,61,1,0212 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-23 13.31.22.ndpi,DOG2 original
18,SOC,214,CSU,Rufus,7.9,67.4,Bullmastiff,Castrated male,Left distal tibia,NPH,0,Elevated,NPHEALP,67,1,128,1,0214 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 13.14.29.ndpi,DOG2 original
19,SOC,214,CSU,Rufus,7.9,67.4,Bullmastiff,Castrated male,Left distal tibia,NPH,0,Elevated,NPHEALP,67,1,128,1,0214 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-02 16.26.15.ndpi,DOG2 Batch 2
20,SOC,216,CSU,Samantha,7.1,27.2,Greyhound,Spayed female,Left proximal tibia,NPH,0,Normal,NPHNALP,20,0,482,1,0216 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 18.28.36.ndpi,DOG2 Batch 2
21,SOC,216,CSU,Samantha,7.1,27.2,Greyhound,Spayed female,Left proximal tibia,NPH,0,Normal,NPHNALP,20,0,482,1,0216 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 18.32.24.ndpi,DOG2 Batch 2
22,SOC,220,CSU,Gossamer,6.8,47.7,German Shepherd Dog,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,429,1,652,0,0220Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 13.02.38.ndpi,DOG2 original
23,SOC,222,CSU,Bailey,4.9,38.7,German Shepherd Dog,Spayed female,Right distal ulna,NPH,0,Normal,NPHNALP,61,1,61,0,0222 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 18.35.37.ndpi,DOG2 Batch 2
24,SOC,222,CSU,Bailey,4.9,38.7,German Shepherd Dog,Spayed female,Right distal ulna,NPH,0,Normal,NPHNALP,61,1,61,0,0222 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 18.37.56.ndpi,DOG2 Batch 2
25,SOC,224,CSU,Eagle,8.9,44.7,Mixed Breed,Castrated male,Left distal femur,NPH,0,Normal,NPHNALP,345,0,345,0,0224 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 18.40.05.ndpi,DOG2 Batch 2
26,SOC,224,CSU,Eagle,8.9,44.7,Mixed Breed,Castrated male,Left distal femur,NPH,0,Normal,NPHNALP,345,0,345,0,0224 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 18.45.00.ndpi,DOG2 Batch 2
27,SOC,225,CSU,Cody,7.6,26.3,Vizsla,Castrated male,Right proximal humerus,PH,1,Elevated,PHEALP,138,1,217,1,0225 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-02 10.56.35.ndpi,DOG2 Batch 2
28,SOC,225,CSU,Cody,7.6,26.3,Vizsla,Castrated male,Right proximal humerus,PH,1,Elevated,PHEALP,138,1,217,1,0225 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-02 11.01.21.ndpi,DOG2 Batch 2
29,SOC,227,CSU,Theodore,9.5,48.2,Great Pyrenees,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,113,1,124,0,0227 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 12.57.42.ndpi,DOG2 original
30,SOC,227,CSU,Theodore,9.5,48.2,Great Pyrenees,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,113,1,124,0,0227 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-08 17.30.30.ndpi,Box 2
31,SOC,228,CSU,Zuri,7.3,33.5,Great Pyrenees,Female Phenotype,Left distal radius,NPH,0,Normal,NPHNALP,160,1,309,0,0228 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 18.55.35.ndpi,DOG2 Batch 2
32,SOC,228,CSU,Zuri,7.3,33.5,Great Pyrenees,Female Phenotype,Left distal radius,NPH,0,Normal,NPHNALP,160,1,309,0,0228 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 18.59.27.ndpi,DOG2 Batch 2
33,SOC,302,MU,AJ Rosa,12.1,34,Labrador Retriever,Castrated male,Right distal femur,NPH,0,Elevated,NPHEALP,202,1,269,1,0302 Tumor A,Surgery,Tumor,Primary Tumor,2022-01-10 18.15.28.ndpi,Box 9
34,SOC,302,MU,AJ Rosa,12.1,34,Labrador Retriever,Castrated male,Right distal femur,NPH,0,Elevated,NPHEALP,202,1,269,1,0302 Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 18.28.30.ndpi,Box 9
35,SOC,304,MU,Sam,6.5,42.6,Labrador Retriever,Castrated male,Left distal radius,NPH,0,Elevated,NPHEALP,343,1,471,1,0304 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 12.38.39.ndpi,DOG2 original
36,SOC,304,MU,Sam,6.5,42.6,Labrador Retriever,Castrated male,Left distal radius,NPH,0,Elevated,NPHEALP,343,1,471,1,0304 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-23 12.50.11.ndpi,DOG2 original
37,SOC,306,MU,Chance,12.4,29.5,Australian Shepherd,Castrated male,Left proximal tibia,NPH,0,Normal,NPHNALP,677,0,1025,0,0306 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 19.16.19.ndpi,DOG2 Batch 2
38,SOC,306,MU,Chance,12.4,29.5,Australian Shepherd,Castrated male,Left proximal tibia,NPH,0,Normal,NPHNALP,677,0,1025,0,0306 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 19.20.57.ndpi,DOG2 Batch 2
39,SOC,308,MU,Sophie,9.4,30.8,Labrador Retriever,Spayed female,Left distal radius,NPH,0,Normal,NPHNALP,238,1,475,1,0308 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-23 12.19.34.ndpi,DOG2 original
40,SOC,308,MU,Sophie,9.4,30.8,Labrador Retriever,Spayed female,Left distal radius,NPH,0,Normal,NPHNALP,238,1,475,1,0308 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 12.23.51.ndpi,DOG2 original
41,SOC,310,MU,Willie,10.3,35.4,Pointer,Castrated male,Right distal radius,NPH,0,Elevated,NPHEALP,208,1,305,1,0310 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 11.55.05.ndpi,DOG2 original
42,SOC,310,MU,Willie,10.3,35.4,Pointer,Castrated male,Right distal radius,NPH,0,Elevated,NPHEALP,208,1,305,1,0310 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-23 12.03.01.ndpi,DOG2 original
43,SOC,312,MU,Cash,7,35.3,Greyhound,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,1042,1,1070,1,0312 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-23 11.42.16.ndpi,DOG2 original
44,SOC,312,MU,Cash,7,35.3,Greyhound,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,1042,1,1070,1,0312 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-23 11.48.16.ndpi,DOG2 original
45,SOC,318,MU,Rupert,9.1,46.1,Labrador Retriever,Castrated male,Right distal radius,NPH,0,Normal,NPHNALP,190,1,240,1,0318 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 20.16.37.ndpi,DOG2 Batch 2
46,SOC,318,MU,Rupert,9.1,46.1,Labrador Retriever,Castrated male,Right distal radius,NPH,0,Normal,NPHNALP,190,1,240,1,0318 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-08 17.50.41.ndpi,Box 2
47,SOC,331,MU,Blackie,10.1,48,Rottweiler,Castrated male,Left proximal humerus,PH,1,Normal,PHNALP,119,1,148,1,0331 Tumor A,Surgery,Tumor,Primary Tumor,2022-01-10 21.19.36.ndpi,Box 9
48,SOC,331,MU,Blackie,10.1,48,Rottweiler,Castrated male,Left proximal humerus,PH,1,Normal,PHNALP,119,1,148,1,0331 Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 21.25.48.ndpi,Box 9
49,SOC,333,MU,Kisha,6,63,Great Dane,Spayed female,Right distal femur,NPH,0,Normal,NPHNALP,122,1,193,1,0333 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-02 11.05.01.ndpi,DOG2 Batch 2
50,SOC,333,MU,Kisha,6,63,Great Dane,Spayed female,Right distal femur,NPH,0,Normal,NPHNALP,122,1,193,1,0333 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-02 11.08.27.ndpi,DOG2 Batch 2
51,SOC,402,UPENN,Zeus,4.8,63,Rottweiler,Castrated male,Left mid-diaphyseal humerus,NPH,0,Normal,NPHNALP,112,1,194,1,0402 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 20.43.15.ndpi,DOG2 Batch 2
52,SOC,402,UPENN,Zeus,4.8,63,Rottweiler,Castrated male,Left mid-diaphyseal humerus,NPH,0,Normal,NPHNALP,112,1,194,1,0402 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 20.57.14.ndpi,DOG2 Batch 2
53,SOC,404,UPENN,Harley,9.3,69.8,Newfoundland,Male Phenotype,Left proximal femur,NPH,0,Normal,NPHNALP,98,1,152,1,0404 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 21.10.59.ndpi,DOG2 Batch 2
54,SOC,404,UPENN,Harley,9.3,69.8,Newfoundland,Male Phenotype,Left proximal femur,NPH,0,Normal,NPHNALP,98,1,152,1,0404 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 21.22.09.ndpi,DOG2 Batch 2
55,SOC,406,UPENN,Dior,4,47.3,Great Dane,Spayed female,Left distal tibia,NPH,0,Normal,NPHNALP,136,1,202,1,0406 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 21.50.43.ndpi,DOG2 Batch 2
56,SOC,406,UPENN,Dior,4,47.3,Great Dane,Spayed female,Left distal tibia,NPH,0,Normal,NPHNALP,136,1,202,1,0406 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 21.59.29.ndpi,DOG2 Batch 2
57,SOC,408,Penn,Gracie,9,26.5,Golden Retriever,Spayed female,Right distal femur,NPH,0,Elevated,NPHEALP,1127,0,1503,0,0408 Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 21.33.54.ndpi,Box 9
58,SOC,408,Penn,Gracie,9,26.5,Golden Retriever,Spayed female,Right distal femur,NPH,0,Elevated,NPHEALP,1127,0,1503,0,0408 Tumor A,Surgery,Tumor,Primary Tumor,2022-01-10 21.54.06.ndpi,Box 9
59,SOC,409,Penn,Hemi,6.5,70,Greater Swiss Mountain Dog,Castrated male,Right distal radius,NPH,0,Elevated,NPHEALP,242,1,242,1,0409 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-24 10.02.59.ndpi,DOG2 original
60,SOC,409,Penn,Hemi,6.5,70,Greater Swiss Mountain Dog,Castrated male,Right distal radius,NPH,0,Elevated,NPHEALP,242,1,242,1,0409 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-24 10.12.33.ndpi,DOG2 original
61,SOC,410,Penn,Brodey,6.5,40,Doberman Pinscher,Castrated male,Right proximal tibia,NPH,0,Elevated,NPHEALP,111,1,247,1,0410 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 22.10.45.ndpi,DOG2 Batch 2
62,SOC,410,Penn,Brodey,6.5,40,Doberman Pinscher,Castrated male,Right proximal tibia,NPH,0,Elevated,NPHEALP,111,1,247,1,0410 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-08 18.10.20.ndpi,Box 2
63,SOC,411,Penn,Neko,8.2,29.4,Siberian Husky,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,224,1,224,1,0411 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 22.14.03.ndpi,DOG2 Batch 2
64,SOC,411,Penn,Neko,8.2,29.4,Siberian Husky,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,224,1,224,1,0411 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-08 18.15.44.ndpi,Box 2
65,SOC,502,UW,Zero,8,28.7,Labrador Retriever,Castrated male,Left distal radius ,NPH,0,Normal,NPHNALP,83,1,142,1,0502 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 22.20.22.ndpi,DOG2 Batch 2
66,SOC,502,UW,Zero,8,28.7,Labrador Retriever,Castrated male,Left distal radius ,NPH,0,Normal,NPHNALP,83,1,142,1,0502 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 22.24.46.ndpi,DOG2 Batch 2
67,SOC,504,UW,Sully,6.5,54,Newfoundland,Castrated male,Right distal radius,NPH,0,Normal,NPHNALP,103,1,145,1,0504 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 22.27.17.ndpi,DOG2 Batch 2
68,SOC,504,UW,Sully,6.5,54,Newfoundland,Castrated male,Right distal radius,NPH,0,Normal,NPHNALP,103,1,145,1,0504 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 22.34.04.ndpi,DOG2 Batch 2
69,SOC,506,UW,Riffle,15.6,28.9,Greyhound,Spayed female,Right proximal humerus,PH,1,Normal,PHNALP,14,0,14,0,0506 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 22.37.07.ndpi,DOG2 Batch 2
70,SOC,506,UW,Riffle,15.6,28.9,Greyhound,Spayed female,Right proximal humerus,PH,1,Normal,PHNALP,14,0,14,0,0506 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 22.40.53.ndpi,DOG2 Batch 2
71,SOC,506,UW,Riffle,15.6,28.9,Greyhound,Spayed female,Right proximal humerus,PH,1,Normal,PHNALP,14,0,14,0,0506 Tumor C,Surgery,Tumor,Primary Tumor,2022-01-10 22.46.25.ndpi,Box 9
72,SOC,508,UW,Dakota,8,50.6,Great Pyrenees,Spayed female,Left proximal humerus,PH,1,Normal,PHNALP,82,0,205,0, 0508 Tumor A,Surgery,Tumor,Primary Tumor,2022-01-10 22.54.39.ndpi,Box 9
73,SOC,508,UW,Dakota,8,50.6,Great Pyrenees,Spayed female,Left proximal humerus,PH,1,Normal,PHNALP,82,0,205,0, 0508Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 23.04.38.ndpi,Box 9
74,SOC,510,UW,Fletcher,8.7,34.3,Labrador Retriever,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,371,1,706,1, 0510 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-24 10.23.17.ndpi,DOG2 original
75,SOC,510,UW,Fletcher,8.7,34.3,Labrador Retriever,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,371,1,706,1, 0510 Tumor C,Surgery,Tumor,Primary Tumor,2021-12-02 13.33.48.ndpi,DOG2 Batch 2
76,SOC,510,UW,Fletcher,8.7,34.3,Labrador Retriever,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,371,1,706,1, 0510 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-02 16.07.16.ndpi,DOG2 Batch 2
77,SOC,512,UW,Sophie,9,29.3,Golden Retriever,Spayed female,Right distal femur,NPH,0,Normal,NPHNALP,61,1,83,1,0512 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-24 10.32.31.ndpi,DOG2 original
78,SOC,512,UW,Sophie,9,29.3,Golden Retriever,Spayed female,Right distal femur,NPH,0,Normal,NPHNALP,61,1,83,1,0512 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-02 14.40.03.ndpi,DOG2 Batch 2
79,SOC,514,UW,Daisy,5.5,42.7,Mixed Breed,Spayed female,Left distal radius ,NPH,0,Normal,NPHNALP,33,0,117,1,0514 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 22.44.32.ndpi,DOG2 Batch 2
80,SOC,514,UW,Daisy,5.5,42.7,Mixed Breed,Spayed female,Left distal radius ,NPH,0,Normal,NPHNALP,33,0,117,1,0514 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 22.47.52.ndpi,DOG2 Batch 2
81,SOC,516,UW,Hal,3.8,38.2,Golden Retriever,Castrated male,Left proximal tibia,NPH,0,Normal,NPHNALP,103,1,504,1,0516 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 23.00.01.ndpi,DOG2 Batch 2
82,SOC,516,UW,Hal,3.8,38.2,Golden Retriever,Castrated male,Left proximal tibia,NPH,0,Normal,NPHNALP,103,1,504,1,0516 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 23.03.46.ndpi,DOG2 Batch 2
83,SOC,518,UW,Jessie,8.3,44.3,Rottweiler,Spayed female,Left proximal humerus,PH,1,Elevated,PHEALP,12,0,248,0,0518 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 23.13.19.ndpi,DOG2 Batch 2
84,SOC,518,UW,Jessie,8.3,44.3,Rottweiler,Spayed female,Left proximal humerus,PH,1,Elevated,PHEALP,12,0,248,0,0518 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 23.16.33.ndpi,DOG2 Batch 2
85,SOC,521,UW,Red,3,33.6,Flat-Coated Retriever,Castrated male,Right distal tibia,NPH,0,Normal,NPHNALP,1050,0,1422,0,0521 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-24 10.35.56.ndpi,DOG2 original
86,SOC,522,UW,Bolt,6,41.3,Mixed Breed,Castrated male,Right distal radius,NPH,0,Normal,NPHNALP,158,1,220,1, 0522 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-03 23.28.43.ndpi,DOG2 Batch 2
87,SOC,522,UW,Bolt,6,41.3,Mixed Breed,Castrated male,Right distal radius,NPH,0,Normal,NPHNALP,158,1,220,1, 0522 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 23.32.33.ndpi,DOG2 Batch 2
88,SOC,602,OSU,Andre,6.2,72,Newfoundland,Castrated male,Left distal tibia,NPH,0,Normal,NPHNALP,57,1,73,1,0602 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-24 10.39.38.ndpi,DOG2 original
89,SOC,602,OSU,Andre,6.2,72,Newfoundland,Castrated male,Left distal tibia,NPH,0,Normal,NPHNALP,57,1,73,1,0602 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-02 16.01.42.ndpi,DOG2 Batch 2
90,SOC,604,OSU,Apollo,6.8,46,Great Pyrenees,Castrated male,Left distal radius ,NPH,0,Normal,NPHNALP,228,1,231,1,0604 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-02 13.41.11.ndpi,DOG2 Batch 2
91,SOC,604,OSU,Apollo,6.8,46,Great Pyrenees,Castrated male,Left distal radius ,NPH,0,Normal,NPHNALP,228,1,231,1,0604 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-03 16.33.14.ndpi,DOG2 Batch 2
92,SOC,606,OSU,Sidney,7,40.5,Mixed Breed,Castrated male,Left distal radius,NPH,0,Normal,NPHNALP,695,0,695,0, 0606 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-04 09.48.54.ndpi,DOG2 Batch 2
93,SOC,608,OSU,Basil,1.5,49,Rottweiler,Castrated male,Right distal ulna,NPH,0,Elevated,NPHEALP,427,1,899,1, 0608 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-24 10.45.37.ndpi,DOG2 original
94,SOC,608,OSU,Basil,1.5,49,Rottweiler,Castrated male,Right distal ulna,NPH,0,Elevated,NPHEALP,427,1,899,1, 0608 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-02 15.56.29.ndpi,DOG2 Batch 2
95,SOC,610,OSU,Marley,8.8,37.9,Labrador Retriever,Castrated male,Right proximal femur,NPH,0,Normal,NPHNALP,119,1,121,1, 0610  Tumor B,Surgery,Tumor,Primary Tumor,2022-01-10 23.53.34.ndpi,Box 9
96,SOC,610,OSU,Marley,8.8,37.9,Labrador Retriever,Castrated male,Right proximal femur,NPH,0,Normal,NPHNALP,119,1,121,1, 0610 Tumor A,Surgery,Tumor,Primary Tumor,2022-01-11 00.05.20.ndpi,Box 9
97,SOC,611,OSU,Baxter,6,34.8,Labrador Retriever,Castrated male,Right distal fibula,NPH,0,Normal,NPHNALP,463,1,463,1,611  Tumor A,Surgery,Tumor,Primary Tumor,2021-12-08 18.55.39.ndpi,Box 2
98,SOC,613,OSU,Lufkin,7,67,Newfoundland,Castrated male,Left distal tibia,NPH,0,Elevated,NPHEALP,56,1,91,1, 0613  Tumor A,Surgery,Tumor,Primary Tumor,2021-04-24 10.56.58.ndpi,DOG2 original
99,SOC,614,OSU,Zephyr,8,53,Mixed Breed,Castrated male,Right distal femur,NPH,0,Normal,NPHNALP,56,1,233,1, 0614 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-24 11.04.39.ndpi,DOG2 original
100,SOC,614,OSU,Zephyr,8,53,Mixed Breed,Castrated male,Right distal femur,NPH,0,Normal,NPHNALP,56,1,233,1, 0614  Tumor A,Surgery,Tumor,Primary Tumor,2021-12-02 14.49.42.ndpi,DOG2 Batch 2
101,SOC,615,OSU,Luna,9.8,26.4,Siberian Husky,Spayed female,Right distal femur,NPH,0,Normal,NPHNALP,1059,0,1448,0, 0615 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-24 11.10.08.ndpi,DOG2 original
102,SOC,615,OSU,Luna,9.8,26.4,Siberian Husky,Spayed female,Right distal femur,NPH,0,Normal,NPHNALP,1059,0,1448,0, 0615 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-24 11.13.55.ndpi,DOG2 original
103,SOC,616,OSU,Ellie,5.5,55,Saint Bernard,Spayed female,Left distal radius,NPH,0,Normal,NPHNALP,315,1,320,1, 0616 Tumor B,Surgery,Tumor,Primary Tumor,2021-04-24 11.17.54.ndpi,DOG2 original
104,SOC,616,OSU,Ellie,5.5,55,Saint Bernard,Spayed female,Left distal radius,NPH,0,Normal,NPHNALP,315,1,320,1, 0616 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-24 11.26.32.ndpi,DOG2 original
105,SOC,618,OSU,Carmen,9.8,36.4,Labrador Retriever,Spayed female,Left proximal humerus,PH,1,Elevated,PHEALP,14,0,15,1, 0618 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-04 10.03.55.ndpi,DOG2 Batch 2
106,SOC,618,OSU,Carmen,9.8,36.4,Labrador Retriever,Spayed female,Left proximal humerus,PH,1,Elevated,PHEALP,14,0,15,1, 0618 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-04 10.08.47.ndpi,DOG2 Batch 2
107,SOC,619,OSU,Bliss,7.5,30.8,Mixed Breed,Spayed female,Left distal tibia,NPH,0,Normal,NPHNALP,63,1,622,0, 0619 Tumor A,Surgery,Tumor,Primary Tumor,2021-12-04 10.12.27.ndpi,DOG2 Batch 2
108,SOC,619,OSU,Bliss,7.5,30.8,Mixed Breed,Spayed female,Left distal tibia,NPH,0,Normal,NPHNALP,63,1,622,0,0619 Tumor B,Surgery,Tumor,Primary Tumor,2021-12-04 10.17.53.ndpi,DOG2 Batch 2
109,SOC,620,OSU,Katy,7.3,47,Great Pyrenees,Spayed female,Left distal radius,NPH,0,Normal,NPHNALP,77,1,102,1,0620 Tumor A,Surgery,Tumor,Primary Tumor,2021-04-22 19.42.48.ndpi,DOG2 original
